"np","dist","gamma","dir.hor","dir.ver","id"
524312,5509.01837089878,0.002865245,90,0,"var1"
589848,5509.01655569307,0.00364658,90,0,"var1"
655384,5509.01492200741,0.000508805000000001,90,0,"var1"
720920,5509.00838725993,0.009180125,90,0,"var1"
786456,5509.00838725993,0.000647999999999999,90,0,"var1"
851992,5509.00893182252,0.001118645,90,0,"var1"
917528,5509.01020246834,0.007800005,90,0,"var1"
983064,5509.03016972137,0.0142805,90,0,"var1"
1048600,5509.08208424056,0.01235592,90,0,"var1"
1114136,5509.08734827288,0.0182405,90,0,"var1"
1179672,3860.835752865,0.00150152,90,0,"var1"
1245208,2493.30005013441,0.00654368,90,0,"var1"
1310744,5,0.000722000000000001,90,0,"var1"
1376280,3.25,0.014162445,90,0,"var1"
1441816,2,0.002106005,90,0,"var1"
1507352,1,0.005418405,90,0,"var1"
25,5509.05848679248,0.00419528,90,0,"var1"
65561,5509.05431184884,0.01254528,90,0,"var1"
131097,5509.05031842152,0.009563445,90,0,"var1"
196633,5509.04650651093,0.00824328,90,0,"var1"
262169,5509.04287611744,0.009563445,90,0,"var1"
327705,5509.0394272414,0.01302498,90,0,"var1"
393241,5509.03615988317,0.004315205,90,0,"var1"
458777,5509.03307404306,0.00842402,90,0,"var1"
524313,5509.02490563442,0.00845,90,0,"var1"
589849,5509.02254586967,0.009758045,90,0,"var1"
655385,5509.02036762438,0.000250879999999999,90,0,"var1"
720921,5509.00947638505,0.01801202,90,0,"var1"
786457,5509.00893182252,0.004077045,90,0,"var1"
851993,5509.00838725993,0.00516128,90,0,"var1"
917529,5509.0085687808,0.01605632,90,0,"var1"
983065,5509.02254586967,0.024931445,90,0,"var1"
1048601,5509.06738122709,0.022366125,90,0,"var1"
1114137,5509.07210071717,0.030086045,90,0,"var1"
1179673,3860.82351456275,0.005951405,90,0,"var1"
1245209,2493.30125335873,0.014229845,90,0,"var1"
1310745,8,0.000132845,90,0,"var1"
1376281,6.25,0.02477538,90,0,"var1"
1441817,5,0.00710432,90,0,"var1"
1507353,4,0.01254528,90,0,"var1"
1572889,3,0.001474245,90,0,"var1"
26,5509.15907588448,5.51250000000001e-05,90,0,"var1"
65562,5509.15176986442,0.002987645,90,0,"var1"
131098,5509.14464535106,0.00163592,90,0,"var1"
196634,5509.13770234511,0.001118645,90,0,"var1"
262170,5509.13094084723,0.00163592,90,0,"var1"
327706,5509.12436085811,0.003224045,90,0,"var1"
393242,5509.1179623784,6.96199999999997e-05,90,0,"var1"
